post_id,title,post_type,status,post_date,post_modified,author,link,slug,categories,view_count,seo_linkdex,seo_content_score,seo_title,seo_metadesc,estimated_reading_time_minutes,excerpt,content
4724,Trainer Spotlight: Meet Jessica Taylor - Update 5,post,publish,2026-04-14 16:24:00,2026-04-15 04:24:00,,https://www.leisurecentre.com.au/news/trainer-spotlight-meet-jessica-taylor---update-5/,trainer-spotlight-meet-jessica-taylor---update-5,post,2454,64,70,Meet Our Expert Fitness Coach & Personal Trainer | Wave & Fitness Hub,,1,,"<p>This month, we sit down with one of our core fitness coaches to talk training philosophy, client success stories, and how to stay motivated.</p>"
4534,The Surprising Health Benefits of Aqua Aerobics,post,publish,2026-04-10 15:33:00,2026-04-12 19:33:00,,https://www.leisurecentre.com.au/news/the-surprising-health-benefits-of-aqua-aerobics/,the-surprising-health-benefits-of-aqua-aerobics,post,1708,82,80,Why Low-Impact Aquatic Workouts Benefit Your Health,,2,,<p>Water-based workouts are not just for recovery; they are a highly effective way to build lean cardiovascular endurance and core muscular strength without stressing your joints.</p>
4570,Spring Facility Opening Hours Schedule - Update 3,post,publish,2026-04-06 11:30:00,2026-04-10 19:30:00,,https://www.leisurecentre.com.au/news/spring-facility-opening-hours-schedule---update-3/,spring-facility-opening-hours-schedule---update-3,post,2851,45,80,Spring Opening Hours Update & Schedule Changes,,3,,"<p>With the arrival of the new season, we are transitioning to our seasonal operating hours. This adjustment allows us to open earlier for sunrise swimmers.</p>"
4667,The Surprising Health Benefits of Aqua Aerobics - Update 3,post,publish,2026-04-04 08:10:00,2026-04-09 17:10:00,,https://www.leisurecentre.com.au/news/the-surprising-health-benefits-of-aqua-aerobics---update-3/,the-surprising-health-benefits-of-aqua-aerobics---update-3,post,2800,64,60,Why Low-Impact Aquatic Workouts Benefit Your Health,,1,,<p>Water-based workouts are not just for recovery; they are a highly effective way to build lean cardiovascular endurance and core muscular strength without stressing your joints.</p>
4557,Why You Should Add Zumba Fitness to Your Weekly Routine - Update 2,post,publish,2026-03-25 12:30:00,2026-03-25 17:30:00,,https://www.leisurecentre.com.au/news/why-you-should-add-zumba-fitness-to-your-weekly-routine---update-2/,why-you-should-add-zumba-fitness-to-your-weekly-routine---update-2,post,2481,64,90,Benefits of Group Fitness: Try Zumba Fitness This Week,,4,,<p>Stuck in a workout rut? It might be time to shake up your routine with our popular group training options. Group fitness is scientifically proven to boost accountability.</p>
4684,Notice of Limited Lane Availability: School Swimming Carnival - Update 4,post,publish,2026-03-20 16:34:00,2026-03-23 22:34:00,,https://www.leisurecentre.com.au/news/notice-of-limited-lane-availability-school-swimming-carnival---update-4/,notice-of-limited-lane-availability-school-swimming-carnival---update-4,post,2862,64,70,Lap Lane Availability Notice: School Swim Carnival | Elite Health & Aquatic,,1,,"<p>We will be hosting a local school swimming carnival this coming Friday from 9:00 AM to 2:30 PM. During this event, public lap swimming lanes will be significantly restricted.</p>"
4668,Upcoming Temporary Closure: 50m Outdoor Pool Maintenance - Update 4,post,publish,2026-03-17 12:39:00,2026-03-22 12:39:00,,https://www.leisurecentre.com.au/news/upcoming-temporary-closure-50m-outdoor-pool-maintenance---update-4/,upcoming-temporary-closure-50m-outdoor-pool-maintenance---update-4,post,4114,82,80,Notice: Temporary Closure for Pool Maintenance | Elite Health & Aquatic,,4,,"<p>To ensure the highest standard of water quality and safety, the pool will be temporarily closed for scheduled preventative maintenance.</p><p>During this period, all other pools will remain open as scheduled.</p>"
4803,New Upgrade: Brand New Hammer Strength Squat Racks Arriving Soon! - Update 2,post,publish,2026-03-16 14:53:00,2026-03-19 16:53:00,,https://www.leisurecentre.com.au/news/new-upgrade-brand-new-hammer-strength-squat-racks-arriving-soon---update-2/,new-upgrade-brand-new-hammer-strength-squat-racks-arriving-soon---update-2,post,481,90,60,Gym Floor Upgrade: New Training Equipment Arriving | Community Recreation Hub,,1,,<p>Your training is about to get a massive upgrade! We are thrilled to announce that a brand new fleet of premium commercial fitness gear is arriving on the gym floor next week.</p>
4567,New Upgrade: Brand New StairMaster StepMills Arriving Soon! - Update 3,post,publish,2026-03-13 15:42:00,2026-03-16 20:42:00,,https://www.leisurecentre.com.au/news/new-upgrade-brand-new-stairmaster-stepmills-arriving-soon---update-3/,new-upgrade-brand-new-stairmaster-stepmills-arriving-soon---update-3,post,270,45,80,Gym Floor Upgrade: New Training Equipment Arriving | City Leisure Centre,,4,,<p>Your training is about to get a massive upgrade! We are thrilled to announce that a brand new fleet of premium commercial fitness gear is arriving on the gym floor next week.</p>
4765,Trainer Spotlight: Meet Michael Chang - Update 5,post,publish,2026-03-10 12:23:00,2026-03-14 22:23:00,,https://www.leisurecentre.com.au/news/trainer-spotlight-meet-michael-chang---update-5/,trainer-spotlight-meet-michael-chang---update-5,post,1450,64,90,Meet Our Expert Fitness Coach & Personal Trainer | Wave & Fitness Hub,,1,,"<p>This month, we sit down with one of our core fitness coaches to talk training philosophy, client success stories, and how to stay motivated.</p>"
